emotionally,117930
courageous,598003
emoting,4540
portrayings,0
warmed,7630
humanity,5848287
littlenesses,5
was,2487990
ins,1398816
takers,54204
portraitist,48837
takes,144275
warm,18552556
sailings,2584
theres,95933
survive,947725
portraiture,12611636
humanitarianisms,0
makings,5495
emotes,100157
takings,532
situation,486729
sails,290356
warmnesses,1
emoted,257
surviving,265884
there,1622575
proves,15488
be,13107148
been,643655
proving,17214
emotions,9701179
sailing,9955074
story,18004601
makers,2153250
emotion,4270080
portraitists,490
proved,17358
little,19715947
evening,29407322
survives,6146
clutching,5834
sailor,2931690
warmings,44
capableness,3
us,20543190
sailed,4744
clutches,1469093
taken,2243071
indeed,922029
makes,2670669
emotive,281851
clutchess,723
courageousness,1033
humanitarian,881289
humanities,155015
sailors,550068
beings,74368
courages,8781
proven,198638
make,26303747
prove,466009
humanly,2419
situates,5
capably,26
courageousnesses,0
making,2383658
humans,1535658
warmers,128104
emotionalities,55
littleness,2321
are,4858005
portrayers,24
situations,130176
portrayal,22806
portraitures,105374
capability,36337
alive,3440694
warmer,270806
portrayer,475
portrait,146629609
littles,483480
portraits,22387676
human,8039561
alivenesses,0
u,8173368
evens,12367
portrays,1888
situated,7224
courageously,5839
taking,555414
capabilities,27312
survival,4077643
emote,264088
survivals,6003
courage,7195179
survived,296758
clutch,9303225
made,5610391
took,286565
even,943291
survivor,6985185
clutched,8837
warming,232705
portray,38406
situating,130
situate,1279
maker,6514336
evened,49
portraying,5740
aliveness,37060
being,2275338
is,17266597
through,635591
emotionality,2383
emotional,4442460
am,6156077
portrayed,5693
sail,2894335
a,47275832
humanitarians,27892
capable,180447
as,3923203
portrayals,989
stories,11214078
evenness,1662
evenly,2329
warms,18595
in,29362621
survivors,732514
taker,72572
were,547058
humanitarianism,13656
humanness,19504
am_not,105
take,2624218
warmness,32632
death.,-1
if,3623320
her,13350192
Neelanjana's,-1
that,4571489
unwarned,27
capablenesses,-1
our,3418043
you,37186834
of,21257301
With,27251766
the,40908966
life,-1
from,6342589
it,23194147
luck,-1
evennesses,-1
and,-1
humannesses,-1
would,-1
lucky,14371842
lifer,181402
luckinesses,-1
lucks,11409
lifers,172143
luckiness,3976
luckily,22643
lives,1249293
